device_id,device_type,encryption_algorithm,data_sensitivity,data_retention_years,network_exposure,update_capable,battery_powered,cpu_mhz,ram_kb,key_rotation_days,deployment_age_years,num_connected_devices,data_volume_mb_per_day,risk_label
DEV_00000,environmental_sensor,ECC-256,1,3,0,1,0,1000,512,47,9,26,4.56,MEDIUM
DEV_00001,environmental_sensor,AES-256,3,4,0,1,1,240,64,303,7,43,6.35,LOW
DEV_00002,environmental_sensor,ECC-256,1,1,0,0,1,160,64,57,10,28,6.86,MEDIUM
DEV_00003,environmental_sensor,ECC-256,3,3,0,1,1,80,256,83,3,17,6.73,MEDIUM
DEV_00004,environmental_sensor,AES-256,2,4,0,0,0,160,128,250,7,12,1.48,LOW
DEV_00005,environmental_sensor,AES-128,0,4,0,0,0,160,256,52,8,2,1.23,MEDIUM
DEV_00006,environmental_sensor,ChaCha20,1,5,0,0,1,240,128,12,6,31,4.42,LOW
DEV_00007,environmental_sensor,AES-128,1,5,1,1,1,80,256,204,9,7,7.86,MEDIUM
DEV_00008,environmental_sensor,ChaCha20,1,3,1,1,1,240,256,59,8,36,5.06,LOW
DEV_00009,environmental_sensor,AES-128,2,3,0,1,1,160,64,44,4,18,9.62,MEDIUM
DEV_00010,environmental_sensor,RSA-2048,2,3,0,0,0,160,128,36,2,4,9.04,HIGH
DEV_00011,environmental_sensor,AES-256,0,4,0,1,0,1000,512,158,3,34,6.31,LOW
DEV_00012,environmental_sensor,ChaCha20,1,4,0,1,1,160,64,38,0,34,5.92,LOW
DEV_00013,environmental_sensor,AES-128,3,5,0,1,1,2000,256,286,6,24,0.92,HIGH
DEV_00014,environmental_sensor,AES-256,1,3,0,1,1,160,256,161,10,43,0.31,MEDIUM
DEV_00015,environmental_sensor,ECC-256,2,3,0,1,1,80,256,266,1,37,7.71,MEDIUM
DEV_00016,environmental_sensor,AES-128,3,5,1,1,1,1000,512,116,2,49,9.53,HIGH
DEV_00017,environmental_sensor,AES-256,1,5,0,1,1,160,16384,326,2,8,7.51,LOW
DEV_00018,environmental_sensor,RSA-2048,2,1,0,0,1,160,64,273,5,37,2.7,HIGH
DEV_00019,environmental_sensor,RSA-2048,0,1,0,1,1,240,2048,72,1,3,3.17,MEDIUM
DEV_00020,environmental_sensor,ECC-256,3,3,1,1,1,80,256,45,5,49,5.11,MEDIUM
DEV_00021,environmental_sensor,ChaCha20,1,3,0,0,0,80,64,339,2,29,4.04,LOW
DEV_00022,environmental_sensor,AES-256,1,3,0,1,0,80,256,232,7,8,1.15,LOW
DEV_00023,environmental_sensor,AES-128,1,1,0,0,0,160,512,7,10,43,1.18,MEDIUM
DEV_00024,environmental_sensor,ECC-256,2,3,0,0,0,240,128,137,2,6,4.32,MEDIUM
DEV_00025,environmental_sensor,ChaCha20,2,2,1,1,0,1000,64,25,4,45,5.98,MEDIUM
DEV_00026,environmental_sensor,AES-128,2,2,1,0,1,80,64,43,3,23,0.31,MEDIUM
DEV_00027,environmental_sensor,AES-128,0,5,0,0,1,160,256,320,0,37,8.53,MEDIUM
DEV_00028,environmental_sensor,AES-128,0,5,1,1,1,80,128,192,2,47,1.11,MEDIUM
DEV_00029,environmental_sensor,ECC-256,0,3,1,0,0,2000,512,285,10,29,6.46,MEDIUM
DEV_00030,environmental_sensor,ECC-256,0,5,0,0,1,160,256,98,5,13,1.48,MEDIUM
DEV_00031,environmental_sensor,AES-256,1,4,0,1,1,160,256,109,2,12,9.49,LOW
DEV_00032,environmental_sensor,RSA-2048,1,4,0,0,1,1000,256,232,3,39,2.95,HIGH
DEV_00033,environmental_sensor,ECC-256,0,3,0,1,1,80,512,31,7,30,9.37,MEDIUM
DEV_00034,environmental_sensor,AES-128,3,1,0,0,0,1500,128,216,8,37,1.04,HIGH
DEV_00035,environmental_sensor,ChaCha20,0,1,0,1,1,1000,512,180,6,26,6.04,LOW
DEV_00036,environmental_sensor,RSA-2048,0,4,1,0,1,1000,256,122,1,37,8.99,HIGH
DEV_00037,environmental_sensor,ECC-256,0,4,0,1,1,1500,128,140,4,37,7.32,MEDIUM
DEV_00038,environmental_sensor,ChaCha20,3,2,0,1,0,240,4096,44,8,22,8.52,MEDIUM
DEV_00039,environmental_sensor,ChaCha20,0,3,0,1,1,1000,128,168,6,49,4.48,LOW
DEV_00040,environmental_sensor,AES-256,3,4,1,0,0,80,512,39,8,3,9.99,LOW
DEV_00041,environmental_sensor,ChaCha20,2,4,0,1,1,80,512,73,0,41,9.12,MEDIUM
DEV_00042,environmental_sensor,ChaCha20,0,1,1,0,0,80,512,21,0,13,8.03,LOW
DEV_00043,environmental_sensor,RSA-2048,2,5,0,1,1,80,256,272,7,27,6.34,MEDIUM
DEV_00044,environmental_sensor,RSA-2048,0,5,1,1,0,3000,256,20,8,26,6.2,MEDIUM
DEV_00045,environmental_sensor,AES-128,2,3,1,1,1,3000,256,287,7,28,6.4,MEDIUM
DEV_00046,environmental_sensor,ChaCha20,0,2,0,1,1,240,4096,55,10,8,5.13,MEDIUM
DEV_00047,environmental_sensor,AES-256,1,1,1,1,1,160,256,232,1,21,4.18,LOW
DEV_00048,environmental_sensor,AES-256,0,5,0,1,1,160,128,209,6,5,5.7,LOW
DEV_00049,environmental_sensor,ECC-256,1,3,0,0,1,160,256,132,7,27,5.18,MEDIUM
DEV_00050,environmental_sensor,ECC-256,2,1,0,1,0,160,512,181,10,20,1.25,MEDIUM
DEV_00051,environmental_sensor,AES-128,2,5,1,1,1,160,512,6,0,46,8.29,MEDIUM
DEV_00052,environmental_sensor,RSA-2048,1,4,0,1,1,2000,16384,282,1,23,3.18,MEDIUM
DEV_00053,environmental_sensor,ChaCha20,2,4,0,1,1,160,64,61,4,36,8.38,MEDIUM
DEV_00054,environmental_sensor,RSA-2048,1,2,0,1,1,160,64,276,9,42,4.39,MEDIUM
DEV_00055,environmental_sensor,AES-256,0,2,0,1,1,80,256,215,1,50,4.98,LOW
DEV_00056,environmental_sensor,3DES,0,5,1,0,1,1000,64,134,9,37,5.44,HIGH
DEV_00057,environmental_sensor,AES-256,2,2,0,0,1,1500,256,311,5,7,3.47,LOW
DEV_00058,environmental_sensor,AES-256,1,3,0,0,1,80,128,70,1,16,0.35,LOW
DEV_00059,environmental_sensor,RSA-2048,1,3,0,1,1,240,256,359,3,36,6.24,MEDIUM
DEV_00060,environmental_sensor,AES-256,2,4,0,0,0,1200,64,268,9,26,4.46,LOW
DEV_00061,environmental_sensor,ChaCha20,2,3,0,1,0,240,128,46,10,1,0.51,MEDIUM
DEV_00062,environmental_sensor,ECC-256,1,5,0,0,1,1000,64,203,10,12,8.04,MEDIUM
DEV_00063,environmental_sensor,RSA-2048,2,2,0,1,1,240,512,283,0,33,8.67,MEDIUM
DEV_00064,environmental_sensor,ECC-256,2,2,1,0,0,80,256,248,0,14,0.39,MEDIUM
DEV_00065,environmental_sensor,AES-256,2,4,1,0,1,1200,128,216,7,36,4.03,LOW
DEV_00066,environmental_sensor,AES-256,2,5,1,1,0,1000,16384,109,2,32,4.14,LOW
DEV_00067,environmental_sensor,AES-128,1,1,0,1,1,1500,256,50,10,18,3.72,MEDIUM
DEV_00068,environmental_sensor,AES-128,0,3,0,0,1,160,4096,275,0,49,5.45,MEDIUM
DEV_00069,environmental_sensor,AES-256,2,2,0,0,1,240,256,239,2,31,3.06,LOW
DEV_00070,environmental_sensor,RSA-1024,1,1,1,1,1,1000,512,161,1,32,4.81,HIGH
DEV_00071,environmental_sensor,RSA-2048,2,2,0,0,1,240,64,239,8,22,9.56,HIGH
DEV_00072,environmental_sensor,AES-256,1,1,0,1,1,80,64,167,0,50,5.21,LOW
DEV_00073,environmental_sensor,AES-256,0,5,0,1,1,80,128,144,1,25,4.22,LOW
DEV_00074,environmental_sensor,AES-128,0,3,1,1,1,160,128,285,9,28,8.43,MEDIUM
DEV_00075,environmental_sensor,AES-256,1,3,0,0,1,160,4096,18,2,25,4.66,LOW
DEV_00076,environmental_sensor,ECC-256,0,4,1,0,1,80,64,41,0,8,6.24,MEDIUM
DEV_00077,environmental_sensor,AES-128,1,2,0,1,0,240,64,283,6,45,8.57,MEDIUM
DEV_00078,environmental_sensor,AES-256,3,3,0,0,1,1000,128,292,4,28,6.05,LOW
DEV_00079,environmental_sensor,AES-128,1,4,1,1,1,80,64,265,3,33,7.11,MEDIUM
DEV_00080,environmental_sensor,ECC-256,1,1,0,1,1,240,64,186,9,40,9.92,MEDIUM
DEV_00081,environmental_sensor,AES-128,0,3,0,1,0,1200,256,227,10,9,2.8,MEDIUM
DEV_00082,environmental_sensor,AES-128,1,1,0,0,1,240,128,319,3,43,2.61,MEDIUM
DEV_00083,environmental_sensor,ChaCha20,1,3,0,0,1,1000,8192,154,4,8,5.19,LOW
DEV_00084,environmental_sensor,AES-128,2,2,0,1,0,160,256,55,5,24,9.62,MEDIUM
DEV_00085,environmental_sensor,AES-128,0,5,0,1,1,240,2048,139,9,33,5.22,MEDIUM
DEV_00086,environmental_sensor,ECC-256,2,3,0,1,0,1200,512,37,8,26,2.12,MEDIUM
DEV_00087,environmental_sensor,ECC-256,0,2,0,0,0,160,128,223,10,18,5.85,MEDIUM
DEV_00088,environmental_sensor,AES-256,1,3,0,1,1,160,64,60,10,17,6.88,MEDIUM
DEV_00089,environmental_sensor,AES-256,3,4,1,0,0,80,128,68,2,49,5.27,LOW
DEV_00090,environmental_sensor,AES-256,0,1,0,0,1,160,64,93,0,12,3.02,LOW
DEV_00091,environmental_sensor,ECC-256,2,4,0,0,0,80,64,112,9,48,5.57,MEDIUM
DEV_00092,environmental_sensor,AES-128,2,4,0,1,1,80,2048,214,6,19,7.38,MEDIUM
DEV_00093,environmental_sensor,AES-256,1,5,0,0,1,1500,64,328,4,12,1.09,LOW
DEV_00094,environmental_sensor,Kyber-512,2,4,1,1,1,240,2048,320,1,29,3.46,LOW
DEV_00095,environmental_sensor,AES-256,0,2,1,0,0,1000,256,180,2,15,5.34,LOW
DEV_00096,environmental_sensor,AES-256,1,2,1,0,1,2000,64,203,1,19,2.16,LOW
DEV_00097,environmental_sensor,AES-256,0,2,0,1,1,160,128,195,1,27,1.95,LOW
DEV_00098,environmental_sensor,RSA-2048,2,5,0,1,0,160,64,125,8,47,7.97,MEDIUM
DEV_00099,environmental_sensor,ChaCha20,2,4,1,0,1,240,64,363,8,28,2.88,MEDIUM
DEV_00100,environmental_sensor,AES-128,1,4,1,0,1,1500,128,266,1,21,4.66,MEDIUM
DEV_00101,environmental_sensor,ChaCha20,1,1,0,1,1,240,512,15,5,30,4.55,LOW
DEV_00102,environmental_sensor,RSA-2048,2,2,0,0,1,1500,128,270,10,37,4.09,HIGH
DEV_00103,environmental_sensor,ChaCha20,2,3,0,1,1,160,128,161,5,24,1.35,MEDIUM
DEV_00104,environmental_sensor,AES-128,2,1,0,1,1,80,512,315,7,47,2.54,MEDIUM
DEV_00105,environmental_sensor,ChaCha20,0,5,1,1,1,1500,128,198,3,49,7.04,LOW
DEV_00106,environmental_sensor,HYBRID-ECC-Kyber,1,4,1,1,0,160,256,9,2,28,4.06,LOW
DEV_00107,environmental_sensor,RSA-2048,1,2,0,0,1,160,256,231,4,23,3.41,HIGH
DEV_00108,environmental_sensor,RSA-2048,3,5,1,0,0,1000,512,176,10,6,4.62,HIGH
